DATE,SALES,COST_OF_SALES,DAILY_GP_PERCENT
28/4/2015,190560.57920,200804.03680,-5.37543370400
28/4/2016,257324.60310,276852.17990,-7.58869403300
28/5/2014,243720.86800,252929.29470,-3.77826764500
28/5/2015,217746.01290,234483.41700,-7.68666386900
28/5/2016,397480.36950,421674.10190,-6.08677415500
28/6/2014,146169.07660,141012.32940,3.52793307600
28/6/2015,185648.49110,197095.10870,-6.16574771600
28/6/2016,200616.07620,217104.57970,-8.21893430100
28/7/2014,292634.74570,304508.37900,-4.05749265100
28/7/2015,56976.78528,59094.07686,-3.71606009300
28/7/2016,51907.94315,44544.63074,14.18532880200
28/8/2014,258066.16940,287168.56610,-11.27710647500
28/8/2015,387639.12000,426783.30220,-10.09809902600
28/8/2016,153893.68520,163401.32920,-6.17805986500
28/9/2014,283850.59710,304440.65150,-7.25383515500
28/9/2015,190892.45900,216571.05950,-13.45186742000
28/9/2016,58796.78502,57168.56050,2.76924073200
29/1/2014,67458.30189,66529.44200,1.37693933000
29/1/2015,57310.19404,58531.41099,-2.13088957500
29/1/2016,397984.32930,437198.92960,-9.85330260800
29/10/2014,81991.88284,80112.54801,2.29209863800
29/10/2015,119047.40990,124349.26550,-4.45356652800
29/10/2016,124988.15550,113187.84600,9.44114220500
29/11/2014,88321.62555,79880.24368,9.55754812900
29/11/2015,238637.81640,274093.57800,-14.85756203100
29/12/2014,133307.36900,136003.48250,-2.02247896700
29/12/2015,161267.52060,175378.14590,-8.74982466900
29/2/2016,163079.37800,160332.58940,1.68432614500
29/3/2014,357369.26690,352250.83010,1.43225433000
29/3/2015,224102.88850,244359.80750,-9.03911553100
29/3/2016,84836.41434,84595.21793,0.28430764300
29/4/2014,131842.57160,130405.26390,1.09016964900
29/4/2015,198985.39960,209483.87580,-5.27600327500
29/4/2016,455554.33600,489215.06750,-7.38896084200
29/5/2014,207429.42900,215118.84650,-3.70700413000
29/5/2015,472160.75210,508265.14700,-7.64663194500
29/5/2016,204028.17680,216777.31570,-6.24871481000
29/6/2014,62073.58541,60083.86984,3.20541427900
29/6/2015,165557.76180,175871.11090,-6.22945670900
29/6/2016,211700.81320,229023.81070,-8.18277324400
29/7/2014,212360.99310,221017.07310,-4.07611580300
29/7/2015,53433.66803,55516.52556,-3.89802461000
29/7/2016,93508.63389,80346.69413,14.07564116000
29/8/2014,594007.21320,660937.80480,-11.26763953600
29/8/2015,461188.00490,504578.18880,-9.40835048600
29/8/2016,159625.74090,169479.10610,-6.17279214800
29/9/2014,264317.11040,283912.96870,-7.41376836000
29/9/2015,143082.13330,162929.01850,-13.87097378400
29/9/2016,57019.38967,55187.38391,3.21295224400
3/1/2014,326906.07420,333806.29190,-2.11076460300
3/1/2015,245813.28830,267734.72530,-8.91792187100
3/1/2016,164527.53890,179308.94950,-8.98415590400
3/10/2014,518693.52870,557939.36930,-7.56628691700
3/10/2015,451100.06010,515549.38990,-14.28714724300
3/10/2016,142758.88110,126506.34470,11.38460618000
3/11/2014,205368.92260,201281.23900,1.99041001300
3/11/2015,192001.03460,201125.77550,-4.75244361000
3/11/2016,97039.00987,89413.41597,7.85827669700
3/12/2014,71590.36929,69654.93031,2.70349070600
3/12/2015,201048.83050,219110.39320,-8.98366961700
3/2/2014,143192.53340,140505.63470,1.87642374700
3/2/2015,102072.44340,103634.96420,-1.53079592100
3/2/2016,264159.30060,280392.27360,-6.14514535900
3/3/2014,538827.20210,557567.13700,-3.47791181000
3/3/2015,249380.56540,268761.83240,-7.77176319600
3/3/2016,129719.05050,131961.93250,-1.72903054100
3/4/2014,136001.97820,134523.06860,1.08741771200
3/4/2015,510289.21560,554159.81940,-8.59720379300
3/4/2016,90716.54789,95543.13365,-5.32051304000
3/5/2014,131436.79240,127601.94470,2.91763640100
3/5/2015,259541.60870,273280.04640,-5.29334690100
3/5/2016,297500.67400,319786.35950,-7.49096975200
3/6/2014,328217.77000,340913.59170,-3.86810918300
3/6/2015,269835.82860,290492.10630,-7.65512786300
3/6/2016,373959.36200,396324.17870,-5.98054734600
3/7/2014,93450.53368,90927.08966,2.70029920700
3/7/2015,268410.48070,284592.99470,-6.02901718200
3/7/2016,242185.18070,261534.91200,-7.98964298500
3/8/2014,307272.68370,319500.00950,-3.97930777700
3/8/2015,81142.02785,83114.57681,-2.43098307000
3/8/2016,48442.17148,41610.78394,14.10214970000
3/9/2014,464067.79930,517180.54330,-11.44503972900
3/9/2015,271551.09510,293343.87400,-8.02529589900
3/9/2016,369091.05540,391842.50140,-6.16418243300
30/1/2014,64640.36931,63757.83987,1.36529145700
30/1/2015,134540.21450,137221.53750,-1.99295282100
30/1/2016,512603.10350,561872.20600,-9.61154978600
30/10/2014,69704.49111,68293.09639,2.02482608700
30/10/2015,285081.97430,297627.69070,-4.40073997300
30/10/2016,67521.03749,61233.71887,9.31164397600
30/11/2014,101037.82780,93177.88470,7.77920831400
30/11/2015,260653.66700,283981.15070,-8.94960886900
30/12/2013,223937.96790,230079.62100,-2.74256891700
30/12/2014,216389.50430,235723.76480,-8.93493451200
30/12/2015,208583.21800,227060.26270,-8.85835633200
30/3/2014,163865.49030,160525.42690,2.03829579600
30/3/2015,215203.55880,234819.44740,-9.11503913300
30/3/2016,64308.91422,68427.59467,-6.40452494000
30/4/2014,154850.05730,150644.34820,2.71598808100
30/4/2015,385482.87200,406252.00760,-5.38782319700
30/4/2016,556865.20330,598925.66790,-7.55307825900
30/5/2014,503149.43130,521651.08610,-3.67716897800
30/5/2015,546135.46240,588250.18120,-7.71140526500
30/5/2016,172797.93510,183715.80720,-6.31828852200
