DATE,SALES,QUANTITY_SOLD,DAILY_UNIT_PRICE
16/8/2014,541600.89220,16686,32.45840178593
16/8/2015,71056.06100,1866,38.07934673098
16/8/2016,114708.94600,3302,34.73923258631
16/9/2014,83204.19669,2375,35.03334597474
16/9/2015,30194.71596,773,39.06172827943
16/9/2016,69864.83699,1733,40.31438949221
17/1/2014,135460.61970,3968,34.13826101310
17/1/2015,170624.07990,4144,41.17376445463
17/1/2016,92595.46084,2252,41.11698971581
17/10/2014,121057.86130,3293,36.76218077741
17/10/2015,111527.01350,2829,39.42276899965
17/10/2016,57184.94127,1332,42.93163759009
17/11/2014,86313.33408,2297,37.57654944710
17/11/2015,152368.74910,4342,35.09183535237
17/12/2014,148910.99840,3865,38.52807203105
17/12/2015,213778.13810,6051,35.32938986944
17/2/2014,150800.34700,4649,32.43715788342
17/2/2015,139935.93700,3713,37.68810584433
17/2/2016,158963.02490,4529,35.09892358136
17/3/2014,243707.87190,7494,32.52039923939
17/3/2015,50669.63710,1230,41.19482691057
17/3/2016,34348.50419,817,42.04223279070
17/4/2014,612236.00580,18366,33.33529379288
17/4/2015,103911.91910,2485,41.81566160966
17/4/2016,164809.30300,4678,35.23071889696
17/5/2014,498716.99760,15508,32.15869213309
17/5/2015,177159.67310,4695,37.73368969116
17/5/2016,39104.63910,930,42.04799903226
17/6/2014,212687.50940,6632,32.06988983715
17/6/2015,89072.70535,2120,42.01542705189
17/6/2016,329344.26830,9385,35.09262315397
17/7/2014,80823.05920,2307,35.03383580407
17/7/2015,119204.30950,3070,38.82876530945
17/7/2016,45324.05453,1078,42.04457748609
17/8/2014,239513.97900,7380,32.45446869919
17/8/2015,64394.07445,1690,38.10300263314
17/8/2016,122318.90750,3536,34.59245121606
17/9/2014,73768.03473,2105,35.04419702138
17/9/2015,29751.22261,760,39.14634553947
17/9/2016,100120.71110,2482,40.33872324738
18/1/2014,149925.74970,4393,34.12832909174
18/1/2015,74744.28315,1815,41.18142322314
18/1/2016,96947.05429,2357,41.13154615613
18/10/2014,169498.91640,4611,36.75968692258
18/10/2015,59808.13867,1517,39.42527268952
18/10/2016,40951.10428,954,42.92568582809
18/11/2014,62631.79875,1665,37.61669594595
18/11/2015,147471.80490,4202,35.09562229891
18/12/2014,202359.14290,5288,38.26761401286
18/12/2015,273563.01480,7750,35.29845352258
18/2/2014,55591.93034,1627,34.16836529809
18/2/2015,161064.75230,4270,37.72008250585
18/2/2016,69598.07115,1658,41.97712373341
18/3/2014,94849.74380,2707,35.03869368304
18/3/2015,48648.99266,1182,41.15820021997
18/3/2016,78276.83122,1866,41.94899851018
18/4/2014,464815.51790,13940,33.34401132712
18/4/2015,132843.22260,3172,41.87995668348
18/4/2016,151157.79430,4294,35.20209462040
18/5/2014,166433.17210,5141,32.37369618751
18/5/2015,196420.76350,5205,37.73693823247
18/5/2016,34406.75001,818,42.06204157702
18/6/2014,184259.69240,5752,32.03402162726
18/6/2015,78746.59586,1875,41.99818445867
18/6/2016,308642.97720,9012,34.24800013316
18/7/2014,124615.68560,3557,35.03392904133
18/7/2015,129441.27870,3322,38.96486414810
18/7/2016,51604.11841,1227,42.05714621842
18/8/2014,255224.22260,7864,32.45475872330
18/8/2015,35165.97208,922,38.14096754881
18/8/2016,112010.34450,3236,34.61382710136
18/9/2014,69425.44512,1982,35.02797432896
18/9/2015,68504.63944,1755,39.03398258689
18/9/2016,49825.09704,1235,40.34420812955
19/1/2014,74297.30718,2176,34.14398307904
19/1/2015,90144.16140,2189,41.18052142531
19/1/2016,70512.89450,1715,41.11539037901
19/10/2014,90692.37588,2468,36.74731599676
19/10/2015,55166.22623,1399,39.43261345961
19/10/2016,37672.44729,877,42.95604023945
19/11/2014,48529.10336,1291,37.59032018590
19/11/2015,145697.15200,4151,35.09928980968
19/12/2014,274343.65430,7141,38.41810030808
19/12/2015,337506.78840,9490,35.56446663857
19/2/2014,106427.19180,3281,32.43742511429
19/2/2015,144328.54520,3827,37.71323365560
19/2/2016,161275.60220,3841,41.98792038532
19/3/2014,92386.78307,2637,35.03480586651
19/3/2015,43213.17762,1050,41.15540725714
19/3/2016,92851.40266,2211,41.99520699231
19/4/2014,360480.94040,10814,33.33465326429
19/4/2015,62786.61128,1497,41.94162410154
19/4/2016,126895.93650,3606,35.19022088186
19/5/2014,168520.62940,5194,32.44525017328
19/5/2015,137940.87220,3638,37.91667735019
19/5/2016,39403.65856,937,42.05299739594
19/6/2014,113735.81620,3578,31.78753946339
19/6/2015,141913.38240,3376,42.03595450237
19/6/2016,134472.40660,3831,35.10112414513
19/7/2014,242758.95050,7485,32.43272551770
19/7/2015,77645.74994,1982,39.17545405651
19/7/2016,37870.11903,900,42.07791003333
19/8/2014,160372.03970,4941,32.45740532281
19/8/2015,23234.18320,604,38.46719072848
19/8/2016,229861.47030,6646,34.58643850436
19/9/2014,137154.95410,3915,35.03319389527
19/9/2015,68996.56176,1766,39.06940077010
19/9/2016,46566.46205,1155,40.31728316017
2/1/2014,200173.11680,6175,32.41669907692
2/1/2015,271101.46170,7023,38.60194527979
2/1/2016,262421.28190,7479,35.08774995320
2/10/2014,470507.66300,14503,32.44209218782
2/10/2015,393635.17490,11758,33.47807236775
2/10/2016,118580.47260,3173,37.37172158840
2/11/2014,148476.18120,4038,36.76973283804
2/11/2015,269555.02310,7316,36.84459036359
2/11/2016,97558.24705,2284,42.71376841068
2/12/2014,88219.52549,2170,40.65415921198
2/12/2015,248437.71130,7056,35.20942620465
2/2/2014,113433.58100,3320,34.16674126506
2/2/2015,151737.21880,3685,41.17699289009
2/2/2016,278116.36930,8116,34.26766501971
2/3/2014,478902.30490,15004,31.91830877766
2/3/2015,234705.59280,6221,37.72795254782
2/3/2016,171196.17520,4451,38.46240736913
